,Start,End
156,2019-02-12 18:39:57.004867,2019-02-12 18:39:57.708009
157,2019-02-12 18:39:57.822060,2019-02-12 18:39:58.687664
158,2019-02-12 18:39:58.721276,2019-02-12 18:39:58.845525
159,2019-02-12 18:39:58.876671,2019-02-12 18:39:58.924142
160,2019-02-12 18:39:59.021191,2019-02-12 18:39:59.245554
161,2019-02-12 18:39:59.325072,2019-02-12 18:40:01.997633
162,2019-02-12 18:40:04.172744,2019-02-12 18:40:07.356709
163,2019-02-12 18:40:07.388958,2019-02-12 18:40:07.453139
164,2019-02-12 18:40:07.821495,2019-02-12 18:40:07.853393
165,2019-02-12 18:40:07.917683,2019-02-12 18:40:07.965201
166,2019-02-12 18:40:07.998842,2019-02-12 18:40:08.031238
167,2019-02-12 18:40:08.062553,2019-02-12 18:40:08.095191
168,2019-02-12 18:40:08.158354,2019-02-12 18:40:08.404410
169,2019-02-12 18:40:09.904369,2019-02-12 18:40:11.533990
170,2019-02-12 18:40:11.581915,2019-02-12 18:40:11.645339
171,2019-02-12 18:40:12.445815,2019-02-12 18:40:13.181939
172,2019-02-12 18:40:14.415564,2019-02-12 18:40:17.773205
173,2019-02-12 18:40:17.934752,2019-02-12 18:40:18.302100
174,2019-02-12 18:40:18.604682,2019-02-12 18:40:19.373433
175,2019-02-12 18:40:20.350224,2019-02-12 18:40:20.413736
176,2019-02-12 18:40:20.445168,2019-02-12 18:40:20.476612
177,2019-02-12 18:40:21.517822,2019-02-12 18:40:29.549434
178,2019-02-12 18:40:29.581785,2019-02-12 18:40:29.615433
179,2019-02-12 18:40:31.136416,2019-02-12 18:40:31.698557
180,2019-02-12 18:40:32.128415,2019-02-12 18:40:32.701512
181,2019-02-12 18:40:33.565771,2019-02-12 18:40:34.204823
182,2019-02-12 18:40:35.280436,2019-02-12 18:40:37.356975
183,2019-02-12 18:40:46.030735,2019-02-12 18:41:27.165878
184,2019-02-12 18:41:29.215286,2019-02-12 18:41:34.063683
185,2019-02-12 18:41:35.776648,2019-02-12 18:41:43.744407
186,2019-02-12 18:41:45.519262,2019-02-12 18:41:46.381804
187,2019-02-12 18:41:47.054282,2019-02-12 18:41:47.086173
188,2019-02-12 18:41:47.630336,2019-02-12 18:41:48.798880
189,2019-02-12 18:41:49.775011,2019-02-12 18:41:49.965993
190,2019-02-12 18:41:50.144316,2019-02-12 18:41:50.174172
191,2019-02-12 18:41:50.457625,2019-02-12 18:41:50.479876
192,2019-02-12 18:41:50.510671,2019-02-12 18:41:53.727169
193,2019-02-12 18:41:54.350073,2019-02-12 18:41:55.761226
194,2019-02-12 18:41:56.638110,2019-02-12 18:41:57.166806
195,2019-02-12 18:41:57.231569,2019-02-12 18:41:57.264164
196,2019-02-12 18:41:57.712433,2019-02-12 18:41:57.744784
197,2019-02-12 18:41:57.776845,2019-02-12 18:41:57.839589
198,2019-02-12 18:41:57.905653,2019-02-12 18:41:57.936892
199,2019-02-12 18:41:58.205896,2019-02-12 18:41:58.238972
200,2019-02-12 18:41:58.575048,2019-02-12 18:41:58.607140
201,2019-02-12 18:41:58.980568,2019-02-12 18:41:59.023182
202,2019-02-12 18:41:59.077828,2019-02-12 18:41:59.117936
203,2019-02-12 18:41:59.487865,2019-02-12 18:41:59.520050
204,2019-02-12 18:41:59.679775,2019-02-12 18:42:01.358916
205,2019-02-12 18:42:03.599399,2019-02-12 18:42:08.848009
206,2019-02-12 18:42:08.981366,2019-02-12 18:42:08.991392
207,2019-02-12 18:42:09.169368,2019-02-12 18:42:09.331802
208,2019-02-12 18:42:10.562088,2019-02-12 18:42:10.591667
209,2019-02-12 18:42:12.129901,2019-02-12 18:42:12.462820
210,2019-02-12 18:42:13.282857,2019-02-12 18:42:13.441025
211,2019-02-12 18:42:14.670827,2019-02-12 18:42:15.118615
212,2019-02-12 18:42:18.030560,2019-02-12 18:42:18.734035
213,2019-02-12 18:42:20.207193,2019-02-12 18:42:20.910871
214,2019-02-12 18:42:22.175554,2019-02-12 18:42:24.862626
215,2019-02-12 18:42:25.393477,2019-02-12 18:42:25.727303
216,2019-02-12 18:42:25.934252,2019-02-12 18:42:26.191260
217,2019-02-12 18:42:26.894905,2019-02-12 18:42:29.982150
218,2019-02-12 18:42:30.910698,2019-02-12 18:42:30.943160
219,2019-02-12 18:42:30.992960,2019-02-12 18:42:31.150141
220,2019-02-12 18:42:31.791490,2019-02-12 18:42:32.382542
221,2019-02-12 18:42:33.055546,2019-02-12 18:42:35.599787
222,2019-02-12 18:42:36.367323,2019-02-12 18:42:36.846788
223,2019-02-12 18:42:37.614807,2019-02-12 18:42:40.832538
224,2019-02-12 18:42:41.438566,2019-02-12 18:42:41.967089
225,2019-02-12 18:42:41.999628,2019-02-12 18:42:42.064332
226,2019-02-12 18:42:42.096544,2019-02-12 18:42:42.129297
227,2019-02-12 18:42:42.160526,2019-02-12 18:42:42.638826
228,2019-02-12 18:42:42.702764,2019-02-12 18:42:42.765821
229,2019-02-12 18:42:42.798576,2019-02-12 18:42:42.830996
230,2019-02-12 18:42:42.863790,2019-02-12 18:42:42.943647
231,2019-02-12 18:42:43.102914,2019-02-12 18:42:43.134936
232,2019-02-12 18:42:43.319883,2019-02-12 18:42:43.346389
233,2019-02-12 18:42:43.407784,2019-02-12 18:42:43.438793
234,2019-02-12 18:42:43.505723,2019-02-12 18:42:43.534444
235,2019-02-12 18:42:43.599631,2019-02-12 18:42:43.630401
236,2019-02-12 18:42:43.678499,2019-02-12 18:42:43.743278
237,2019-02-12 18:42:43.775468,2019-02-12 18:42:43.808009
238,2019-02-12 18:42:43.967671,2019-02-12 18:42:43.998503
239,2019-02-12 18:42:44.079389,2019-02-12 18:42:44.111181
240,2019-02-12 18:42:44.175915,2019-02-12 18:42:44.238963
241,2019-02-12 18:42:44.303120,2019-02-12 18:42:44.422842
242,2019-02-12 18:42:44.479988,2019-02-12 18:42:44.543986
243,2019-02-12 18:42:44.576765,2019-02-12 18:42:44.609391
244,2019-02-12 18:42:44.639283,2019-02-12 18:42:44.765555
245,2019-02-12 18:42:44.784715,2019-02-12 18:42:45.039381
246,2019-02-12 18:42:45.070944,2019-02-12 18:42:45.118777
247,2019-02-12 18:42:45.214530,2019-02-12 18:42:45.376962
248,2019-02-12 18:42:45.407767,2019-02-12 18:42:45.487347
249,2019-02-12 18:42:45.550412,2019-02-12 18:42:45.616827
250,2019-02-12 18:42:45.647062,2019-02-12 18:42:48.863357
251,2019-02-12 18:42:50.494948,2019-02-12 18:42:54.079441
252,2019-02-12 18:42:55.263089,2019-02-12 18:42:55.329113
253,2019-02-12 18:42:55.360346,2019-02-12 18:42:55.855897
